S.No,Process Area,Sub-Process,Risk ID,Risk Description,Risk Category,Likelihood (H/M/L),Impact (H/M/L),Inherent Risk,Control ID,Control Description,Control Type,Control Nature,Frequency,Key Control,Control Owner,Residual Risk,Applicable to Client,Data Points / Evidence Required,Testable via Data Analytics,Primary Data Source(s) for Analytics,Linked CAAT Test ID(s),Remarks
12,"Purchase & Payables","Payments","PUR-03","Duplicate or double payments are made to vendors due to lack of a control marking invoices as 'paid'.","Financial","L","M","M","PUR-C03","Vendor invoices are stamped/marked 'PAID' with reference to payment voucher number upon payment; vendor ledger and statement of account reconciled periodically.","Preventive","Manual","Transaction-wise","N","Accounts Executive","L","Y","Paid invoice stamps; vendor reconciliation statements","Y","AP Ledger / Payment Register","DA-01, DA-02",""
13,"Purchase & Payables","Statutory Compliance on Purchases","PUR-04","TDS is not deducted, or deducted at an incorrect rate, on vendor payments/contracts (e.g. professional fees, contractors, rent), leading to disallowance under Income Tax Act and penal interest.","Compliance","M","H","H","PUR-C04","A TDS-applicability checklist (section/rate/threshold) is verified at the time of booking each vendor invoice; TDS deducted is reconciled with 26AS/TRACES monthly.","Preventive","Manual","Transaction-wise","Y","Accountant/Tax Consultant","M","Y","TDS applicability checklist; TDS ledger; Form 26AS/TRACES reconciliation","Y","Purchase Register + TDS Ledger + Form 26AS export","DA-22",""
14,"Purchase & Payables","Vendor Master","PUR-05","Fictitious vendors are created, or genuine vendor master data (bank account/IFSC) is altered, enabling diversion of payments.","Fraud","L","H","M","PUR-C05","Creation or change of vendor master data (especially bank details) requires dual approval and is independently verified (e.g. cancelled cheque/bank letter) before activation.","Preventive","IT-dependent Manual","Transaction-wise","Y","Finance Head","L","Y","Vendor master change log; supporting KYC documents; approval trail","Y","Vendor Master change log + Employee Master","DA-13, DA-14, DA-19",""
15,"Inventory Management","Stock Control","INV-01","Physical stock does not match book stock due to pilferage, wastage, or recording errors, remaining undetected in the absence of periodic verification.","Operational","M","H","H","INV-C01","Physical stock verification (full or cycle count) is performed periodically; variances are investigated, approved and adjusted in books with reasons documented.","Detective","Manual","Quarterly","Y","Store In-charge/Accountant","M","Y","Physical verification sheets; variance report with approvals; stock adjustment entries","Partial","Stock Ledger + Physical Verification Sheet","DA-23",""
16,"Inventory Management","Valuation","INV-02","Slow-moving, non-moving or obsolete inventory is not identified, resulting in overstated inventory value in financial statements.","Financial","M","M","M","INV-C02","Inventory ageing analysis is prepared and reviewed periodically; provision for slow-moving/obsolete stock is made as per a documented policy.","Detective","Manual","Quarterly","N","Finance Head","L","Y","Inventory ageing report; provisioning policy and workings","Y","Inventory Ageing / Stock Ledger","DA-18",""
17,"Inventory Management","Valuation","INV-03","Inventory is not valued consistently (costing method - FIFO/weighted average - applied differently across periods or items), affecting comparability and accuracy of COGS.","Financial","L","M","M","INV-C03","A documented inventory valuation policy is applied consistently across all items/periods and reviewed by the accountant/auditor.","Preventive","IT-dependent Manual","Annual","N","Accountant","L","Y","Inventory valuation policy; sample costing workings","Partial","Inventory Valuation Workings","",""
18,"Inventory Management","Movement Controls","INV-04","Goods move in/out of stores without proper documentation (gate pass, delivery challan), increasing risk of unrecorded sales/purchases or theft.","Operational","M","M","M","INV-C04","All inward/outward stock movement is supported by a gate pass/challan, sequentially numbered and reconciled with the stock register.","Preventive","Manual","Transaction-wise","N","Store In-charge","L","Y","Gate pass/challan register; reconciliation with stock ledger","Partial","Gate Pass/Challan Register vs Stock Ledger","DA-03",""
19,"Payroll & HR","Master Data","PAY-01","Ghost/fictitious employees exist on payroll, or unauthorized additions/changes are made, resulting in fraudulent payments.","Fraud","L","H","M","PAY-C01","Payroll is processed only for employees present in the HR-approved employee master; new joiners/exits are updated only on receipt of approved HR documentation; headcount is reconciled monthly.","Preventive","IT-dependent Manual","Monthly","Y","HR Manager","L","Y","Employee master; joining/exit forms; monthly headcount reconciliation","Y","Employee Master + Payroll Register + Bank Payment File","DA-25",""
20,"Payroll & HR","Statutory Deductions","PAY-02","Incorrect statutory deductions (PF, ESI, Professional Tax, TDS on salary) are made, leading to non-compliance, penalties or employee grievances.","Compliance","M","M","M","PAY-C02","Payroll computation sheet (including statutory deductions) is reviewed and approved before disbursement each month; deduction rates reviewed on regulatory change.","Preventive","IT-dependent Manual","Monthly","Y","HR/Accounts","L","Y","Payroll register; statutory deduction working; approval sign-off","Y","Payroll Register","DA-26",""
21,"Payroll & HR","Payments & Approvals","PAY-03","Overtime, incentives or reimbursements are paid without authorization from the reporting manager, inflating payroll costs.","Financial","M","L","M","PAY-C03","Overtime/incentive/reimbursement claims are approved by the reporting manager (with supporting documents for reimbursements) prior to inclusion in payroll.","Preventive","Manual","Monthly","N","Reporting Manager/HR","L","Y","Approved OT/incentive sheets; reimbursement claim forms with bills","Partial","OT/Incentive Approval Register","",""
22,"Payroll & HR","Compliance","PAY-04","PF/ESI/Labour Welfare Fund returns are filed late or with errors, exposing the MSME to interest, penalty and potential prosecution.","Compliance","M","H","H","PAY-C04","A statutory compliance calendar tracks PF/ESI/LWF/PT due dates; returns are prepared, reviewed and filed within due dates by HR/consultant.","Preventive","Manual","Monthly","Y","HR Manager/Consultant","M","Y","Compliance calendar/tracker; filed challans and returns with acknowledgements","Partial","Compliance Tracker + Challans","",""
23,"Fixed Assets & Capex","Capital Expenditure","FA-01","Capital expenditure is incurred without budget approval or business justification, resulting in unplanned cash outflow or unproductive assets.","Financial","M","M","M","FA-C01","All capex proposals are supported by justification/ROI and approved by owner/board against the approved capex budget before commitment of funds.","Preventive","Manual","Transaction-wise","Y","Owner/Director","L","Y","Capex approval notes; budget vs actual capex tracker","Partial","Capex Register vs Budget","",""
24,"Fixed Assets & Capex","Asset Register","FA-02","A fixed asset register (FAR) is not maintained or updated, leading to loss/misappropriation of assets going undetected and inaccurate depreciation.","Operational","M","M","M","FA-C02","A fixed asset register with location, custodian and identification tag is maintained and physically verified periodically; discrepancies reconciled with books.","Detective","Manual","Annual","Y","Accountant","L","Y","Fixed asset register; physical verification report; tagging photographs","Y","Fixed Asset Register","DA-27",""
25,"Fixed Assets & Capex","Depreciation & Disposal","FA-03","Depreciation is not computed as per applicable rates/useful life (Companies Act / Income Tax), or asset disposals/write-offs are not authorized and recorded correctly.","Compliance","L","M","M","FA-C03","Depreciation policy (rates/useful life) is documented and applied consistently; disposals/write-offs require owner approval and are removed from FAR with gain/loss recorded.","Preventive","IT-dependent Manual","Annual","N","Accountant","L","Y","Depreciation policy and workings; disposal approval notes","Partial","FAR + Depreciation Schedule","",""
26,"Cash & Bank","Cash Handling","CB-01","Weak controls over petty cash (no defined limit, no dual custody) increase risk of misappropriation.","Fraud","M","M","M","CB-C01","Cash payments are restricted to petty/incidental expenses within a defined limit, supported by vouchers, and cash is kept under dual custody/insured safe.","Preventive","Manual","Daily","Y","Cashier/Accountant","L","Y","Petty cash policy; cash vouchers; cash count/surprise verification records","Partial","Cash Book / Petty Cash Register","DA-28",""
27,"Cash & Bank","Bank Reconciliation","CB-02","Bank reconciliation statements (BRS) are not prepared/reviewed regularly, so errors, unauthorized transactions or fraud may go undetected.","Financial","M","H","H","CB-C02","Bank reconciliation is prepared monthly for each bank account and independently reviewed by someone other than the preparer; long-outstanding items are investigated.","Detective","Manual","Monthly","Y","Accountant/Finance Head","L","Y","Monthly BRS with preparer/reviewer sign-off; ageing of reconciling items","Y","Bank Statement + Cash Book","DA-07",""
28,"Cash & Bank","Payment Authorization","CB-03","Cheque/online payments are released without adherence to the defined signatory/authorization matrix, risking unauthorized or excess payments.","Fraud","M","H","H","CB-C03","A payment authorization matrix (single/dual signatory based on amount thresholds) is defined and enforced in the bank mandate and/or online banking user rights.","Preventive","IT-dependent Manual","Transaction-wise","Y","Owner/Finance Head","M","Y","Bank mandate/board resolution; authorization matrix; online banking user rights list","Y","Payment Register / Bank Statement","DA-06, DA-07",""
29,"Cash & Bank","Fund Management","CB-04","Cash flow is not monitored/forecast, leading to liquidity shortfalls or idle funds not earning returns - a common MSME vulnerability.","Operational","H","M","H","CB-C04","A rolling cash flow forecast (e.g. 4-13 weeks) is prepared and reviewed by management to plan fund requirements/surplus deployment.","Detective","Manual","Weekly","N","Finance Head/Owner","M","Y","Cash flow forecast working; management review notes","N","Cash flow forecast workings (not transactional data)","",""
30,"Statutory Compliance","GST","STAT-01","GST returns (GSTR-1, GSTR-3B, annual return) are filed late, incorrectly, or input tax credit is claimed on ineligible/unmatched invoices, resulting in interest, penalty or credit reversal.","Compliance","M","H","H","STAT-C01","GST compliance calendar is maintained; GSTR-2B reconciliation with purchase register is performed before ITC claim; returns are reviewed before filing by accountant/consultant.","Preventive","IT-dependent Manual","Monthly","Y","Accountant/Tax Consultant","M","Y","GST compliance tracker; GSTR-2B reconciliation working; filed return acknowledgements","Y","Purchase Register + Sales Register + GSTR-1/2B/3B exports","DA-20, DA-21",""
31,"Statutory Compliance","Income Tax & TDS","STAT-02","Advance tax is not estimated/paid correctly, or TDS/TCS returns are filed late, leading to interest under the Income Tax Act.","Compliance","M","M","M","STAT-C02","Advance tax liability is estimated quarterly based on projected profits and paid within due dates; TDS/TCS return filing tracked on the compliance calendar.","Preventive","Manual","Quarterly","Y","Tax Consultant/Accountant","L","Y","Advance tax working; challans; TDS/TCS return filing proof (Form 26Q/24Q/27EQ)","Y","Advance tax workings + TDS/TCS returns + Form 26AS","DA-22",""
32,"Statutory Compliance","Licenses & Registrations","STAT-03","Statutory licenses/registrations (Shop & Establishment, Factory License, Trade License, MSME/Udyam registration, Fire NOC, Pollution Control) are not renewed on time, risking penalties or closure.","Compliance","M","H","H","STAT-C03","A master license register (issuing authority, validity, renewal due date, responsible person) is maintained and reviewed monthly to track upcoming renewals.","Detective","Manual","Monthly","Y","Admin/Compliance In-charge","L","Y","License register; renewed license copies; renewal application proofs","N","License Register (master data, not transactional)","",""
33,"Statutory Compliance","Corporate/ROC (if company)","STAT-04","Annual filings (AOC-4, MGT-7, DPT-3) and event-based ROC filings are missed or delayed, attracting additional fees and director disqualification risk.","Compliance","L","H","M","STAT-C04","A ROC/secretarial compliance tracker is maintained by the Company Secretary/consultant; board approves financials before filing; filings tracked against statutory due dates.","Preventive","Manual","Annual/Event-based","N","Company Secretary/Consultant","L","Y","ROC compliance tracker; filed forms with SRN/challans; board resolutions","N","ROC filing tracker (master data)","",""
34,"IT General Controls","Access Management","IT-01","Unauthorized or excessive access to the accounting software/ERP allows data manipulation or unauthorized transactions.","IT/Fraud","M","H","H","IT-C01","User access to the accounting system is provisioned based on role (least privilege), with segregation between transaction entry and approval rights; access reviewed periodically.","Preventive","Automated","Quarterly","Y","IT Admin/Owner","M","Y","User access list with roles; access review sign-off; system access rights report","Y","System User Access Export + Employee Master","DA-14",""
35,"IT General Controls","Data Backup & Continuity","IT-02","Financial/business data is lost due to hardware failure, cyber-attack (ransomware) or human error in the absence of a backup process.","Operational","L","H","M","IT-C02","Data is backed up on a defined schedule (e.g. daily incremental, weekly full) to a secure on-site/cloud location; restoration is tested periodically.","Preventive","Automated","Daily/Weekly","Y","IT Admin","L","Y","Backup logs; restoration test records; backup policy","N","Backup logs (not transactional data)","",""
36,"IT General Controls","Access Management","IT-03","Shared logins/weak password practices prevent accountability for actions performed in the system.","IT","M","M","M","IT-C03","Individual, non-shared user IDs are enforced with a password policy (complexity, periodic change) and automatic session lock-out.","Preventive","Automated","Ongoing","N","IT Admin","L","Y","System password policy settings; user ID list vs headcount","Y","System User ID list vs Employee Headcount","",""
37,"Related Party & Loans","Related Party Transactions","RPT-01","Related party transactions (sales/purchases/services with promoter-owned entities) are not identified, disclosed or benchmarked to arm's length, risking regulatory and tax challenge.","Compliance","M","H","H","RPT-C01","A related party register is maintained (identifying relationships); all RPTs are approved by owner/board with basis of pricing documented and disclosed in financial statements/tax audit.","Preventive","Manual","Transaction-wise","Y","Owner/Finance Head","M","Y","Related party register; RPT approval notes; pricing/benchmarking basis","Y","Related Party Register + Vendor/Customer Master + GL","DA-29",""
38,"Related Party & Loans","Unsecured Loans","RPT-02","Unsecured loans/deposits taken from or given to directors/related parties do not comply with Section 269SS/269T of the Income Tax Act or Companies Act provisions (deemed dividend, deposit rules), risking disallowance/penalty.","Compliance","M","H","H","RPT-C02","Loan agreements are documented for all related-party loans; mode of receipt/repayment (account payee cheque/bank transfer) and applicable Companies Act/Income Tax compliance is reviewed before the transaction.","Preventive","Manual","Transaction-wise","Y","Finance Head/Consultant","M","Y","Loan agreements; bank transfer proof; compliance checklist (269SS/269T, Sec 185/186)","Y","Loan Ledger + Bank Statement","DA-28",""
39,"Financial Closing & Reporting","Journal Entries","FR-01","Manual journal entries are posted without approval or supporting rationale, creating opportunity for error or manipulation of financial results.","Fraud","M","H","H","FR-C01","All manual journal entries above a defined threshold require independent review and approval before posting, with narration and supporting documents attached.","Preventive","IT-dependent Manual","Transaction-wise","Y","Finance Head","L","Y","JV approval workflow/log; sample JVs with supporting documents","Y","General Ledger / Journal Entry Listing","DA-05, DA-07, DA-08, DA-09, DA-10, DA-11",""
40,"Financial Closing & Reporting","Period-End Close","FR-02","Financial statements are not reviewed before finalization, so errors, omissions or inconsistent accounting treatment go undetected.","Financial","M","H","H","FR-C02","A month-end close checklist (accruals, provisions, reconciliations) is completed and management reviews the MIS/financials with variance analysis before sign-off.","Detective","Manual","Monthly","Y","Owner/Finance Head","M","Y","Month-end close checklist; MIS pack; variance analysis and review notes","Partial","Trial Balance / MIS","DA-32",""
41,"Financial Closing & Reporting","Reconciliations","FR-03","Key balance sheet accounts (bank, debtors, creditors, GST, TDS, loans) are not reconciled periodically, allowing errors to accumulate undetected.","Financial","M","M","M","FR-C03","A schedule of key general ledger accounts requiring periodic reconciliation is maintained; reconciliations are prepared, reviewed and old outstanding items followed up.","Detective","Manual","Monthly","N","Accountant","L","Y","Reconciliation schedule; account-wise reconciliation statements with sign-off","Y","GL Reconciliation schedule + Sub-ledgers","DA-18",""
42,"Financial Closing & Reporting","Analytical Review","FR-04","Key financial ratios/trends (GP margin, expense-to-revenue, debtor days) move outside the expected historical range without explanation, indicating possible misstatement.","Financial","M","M","M","FR-C04","Trend and ratio analysis is performed each period-end comparing current results to prior periods/budget; significant deviations are investigated and explained.","Detective","Manual","Period-end","N","Finance Head","L","Y","Multi-period trial balance/financial statements; ratio/trend workbook; variance explanations","Y","Multi-period Trial Balance / Financial Statements","DA-32",""
43,"Data Analytics & JE Testing","Journal Entry Controls","JE-01","Fraudulent or erroneous journal entries are posted by unauthorized or non-routine users (e.g. IT admin, owner's assistant, non-finance staff) to manipulate financial results.","Fraud","M","H","H","JE-C01","JE posting rights in the accounting system are restricted to authorized finance users; a system audit-trail report of JEs by user is reviewed monthly for postings by non-routine users.","Detective","Automated","Monthly","Y","Finance Head/Internal Audit","M","Y","GL/JE listing with User ID field; list of authorized finance users; user access rights report","Y","GL/JE listing with User ID field","DA-09, DA-12",""
44,"Data Analytics & JE Testing","Journal Entry Controls","JE-02","Round-sum or suspiciously precise journal entries are posted, which are statistically less common in genuine transactions and may indicate manual manipulation or estimation errors.","Fraud","M","M","M","JE-C02","A round-number/round-sum JE exception report is generated and reviewed monthly; flagged entries are investigated for business rationale.","Detective","Automated","Monthly","N","Internal Audit/Finance Head","L","Y","GL/JE listing; round-sum exception report and review notes","Y","GL/JE listing","DA-05",""
45,"Data Analytics & JE Testing","Journal Entry Controls","JE-03","Journal entries are posted on weekends, holidays or outside normal business hours, potentially indicating unauthorized or manipulated postings.","Fraud","L","M","M","JE-C03","A weekend/holiday/after-hours JE report is generated and reviewed monthly by the finance head/internal audit function.","Detective","Automated","Monthly","N","Internal Audit","L","Y","GL/JE listing with posting date and timestamp; public holiday calendar","Y","GL/JE listing with date & timestamp","DA-07, DA-08",""
46,"Data Analytics & JE Testing","Journal Entry Controls","JE-04","Journal entries lack adequate narration/description, hindering understanding of business rationale and enabling concealment of inappropriate entries.","Operational","M","M","M","JE-C04","The system mandates a narration field for all manual JEs; entries with blank or generic narration are flagged and reviewed before/after posting.","Preventive","IT-dependent Manual","Transaction-wise","N","Finance Head","L","Y","GL/JE listing with narration field; missing-narration exception report","Y","GL/JE listing with narration field","DA-10",""
47,"Data Analytics & JE Testing","Journal Entry Controls","JE-05","Entries are posted just before period-end and reversed immediately in the following period (round-tripping), potentially to temporarily inflate revenue/assets/profit at a reporting date.","Fraud","M","H","H","JE-C05","A reversing-entry report (entries reversed within a short window of the next period) is generated and reviewed as part of the period-end close process.","Detective","IT-dependent Manual","Period-end","Y","Finance Head/Internal Audit","M","Y","GL/JE listing spanning period-end and the following period; reversing-entry exception report","Y","GL/JE listing spanning period-end","DA-11",""
48,"Data Analytics & JE Testing","Journal Entry Controls","JE-06","Journal entries reflect unusual account combinations (e.g. debit to revenue/credit to cash, or postings to dormant/suspense accounts) indicating errors or manipulation.","Fraud","L","H","M","JE-C06","A predefined list of 'unusual' account-pair combinations is maintained; a JE exception report is run against this list monthly and investigated.","Detective","Automated","Monthly","N","Internal Audit","L","Y","GL/JE listing; unusual account-combination rule list; exception report","Y","GL/JE listing + Chart of Accounts","DA-09",""
49,"Expenses & Overheads","Employee Reimbursements","EXP-01","Expense claims/reimbursements are inflated or duplicated (the same bill claimed more than once, or personal expenses claimed as business expenses).","Fraud","M","M","M","EXP-C01","Expense claims are supported by original bills, approved by the reporting manager, and checked for duplicate bill numbers/amounts before reimbursement.","Preventive","Manual","Transaction-wise","N","HR/Finance","L","Y","Expense claim register with approvals and bill images/scans","Y","Expense Claim Register","DA-01",""
50,"Expenses & Overheads","Recurring Overheads","EXP-02","Recurring overhead expenses (rent, utilities, AMC, subscriptions) vary significantly month-to-month without explanation, potentially masking unrecorded liabilities, double-booking or errors.","Financial","M","M","M","EXP-C02","A month-on-month trend analysis of recurring overheads is performed and significant variances are investigated and documented.","Detective","Manual","Monthly","N","Accountant","L","Y","GL expense ledger by month; recurring-contract register (rent/AMC agreements) for cross-check","Y","GL Expense Ledger (multi-month)","DA-32",""
51,"Expenses & Overheads","Period-End Cut-off","EXP-03","Expenses are booked in the wrong accounting period (cut-off error), whether inadvertently or to manage reported profit.","Financial","M","M","M","EXP-C03","Expense cut-off testing is performed at period-end: bills/invoices dated close to period-end are reviewed to confirm allocation to the correct accounting period.","Detective","Manual","Period-end","Y","Accountant","L","Y","Purchase/expense register around period-end; goods/service receipt dates; cut-off working paper","Y","Purchase/Expense Register around period-end","DA-30",""
52,"Revenue & Receivables","Related Party / Unusual Sales","REV-06","Fictitious or inflated sales are routed through related parties or unusual/new customers to artificially inflate revenue or turnover (e.g. to meet bank/NBFC loan covenants or MSME/Udyam turnover classification).","Fraud","L","H","M","REV-C06","Top-customer concentration and related-party sales are analyzed each period; unusual spikes in sales to related or newly-added customers, particularly near period-end, are investigated.","Detective","Manual","Period-end","Y","Finance Head","L","Y","Sales register; customer master with creation dates; related party register","Y","Sales Register + Customer Master + Related Party Register","DA-29, DA-30",""
53,"Revenue & Receivables","Customer Master","REV-07","Customer master data (credit limit, address, bank details for refunds) is altered without authorization, enabling fraudulent transactions or diversion of refunds.","Fraud","L","M","M","REV-C07","Customer master changes require approval and are logged in the system; the customer master change log is reviewed periodically.","Preventive","IT-dependent Manual","Transaction-wise","N","Sales/Finance Head","L","Y","Customer master change log; approval evidence for credit limit changes","Y","Customer Master change log","DA-19",""
54,"Purchase & Payables","Procure to Pay","PUR-06","Purchase orders are deliberately split into smaller amounts to keep each PO below the approval/quotation threshold (structuring), circumventing the intended control.","Fraud","M","M","M","PUR-C06","Multiple POs raised to the same vendor within a short window are reviewed for combined value against the approval threshold; splitting patterns are investigated.","Detective","IT-dependent Manual","Monthly","Y","Purchase Manager/Internal Audit","L","Y","Purchase order register; approval threshold policy; split-PO exception report","Y","Purchase Order Register","DA-15",""
55,"Purchase & Payables","Procure to Pay","PUR-07","Expenses/purchases are booked and paid without a corresponding Goods Receipt Note (GRN) or proof of service delivery, risking payment for goods/services never received.","Financial","M","H","H","PUR-C07","All purchase invoices booked are matched to a GRN or service-completion certificate before payment approval; an exception report of invoices without GRN is reviewed.","Preventive","IT-dependent Manual","Transaction-wise","Y","Accounts/Purchase","M","Y","Purchase invoice register; GRN/service completion register; no-GRN exception report","Y","Purchase Invoice Register + GRN Register","DA-16",""
56,"Inventory Management","Stock Control","INV-05","Negative or illogical stock quantities appear in the system, indicating unrecorded sales/purchases, data entry errors, or theft going undetected between physical counts.","Operational","M","M","M","INV-C05","A negative-stock exception report is generated and reviewed after each stock update/posting cycle; root causes are investigated and corrected.","Detective","Automated","Weekly","N","Store In-charge","L","Y","Stock ledger with running balances; negative-stock exception report","Y","Stock Ledger","DA-23",""
57,"Payroll & HR","Master Data","PAY-05","Two or more employees share the same bank account number, a strong indicator of a ghost employee or diversion of salary payments.","Fraud","L","H","M","PAY-C05","A duplicate-bank-account test is run on the employee master/payroll bank file before each pay run; exceptions are investigated and resolved before disbursement.","Detective","Automated","Monthly","Y","HR/Finance","L","Y","Employee master; payroll bank transfer file; duplicate-account exception report","Y","Employee Master + Payroll Bank Transfer File","DA-25",""
58,"Payroll & HR","Contract Labour","PAY-06","Contract/casual labour payments are made without adequate documentation (attendance/muster roll), enabling inflated headcount billing by labour contractors.","Compliance","M","M","M","PAY-C06","Contractor labour bills are verified against muster roll/attendance records and evidence of PF/ESI compliance for contract labour before payment.","Preventive","Manual","Monthly","N","HR/Site Manager","L","Y","Muster roll/attendance records; contractor invoices; contract labour PF/ESI proof","Partial","Muster Roll + Contractor Bills","",""
59,"Fixed Assets & Capex","Asset Register","FA-04","Duplicate or missing asset tags/serial numbers result in the same physical asset being recorded twice (overstatement) or an asset going untracked in the register.","Financial","M","M","M","FA-C04","An asset-tag/serial-number uniqueness check is performed on the fixed asset register periodically as part of the FAR maintenance process.","Detective","Automated","Annual","N","Accountant","L","Y","Fixed asset register; duplicate-tag exception report","Y","Fixed Asset Register","DA-27",""
60,"Cash & Bank","Compliance","CB-05","Cash transactions are deliberately structured just below regulatory reporting/disallowance thresholds (e.g. Section 40A(3), Section 269ST, Section 269SS/269T) to circumvent tax compliance.","Compliance","M","H","H","CB-C05","A cash-transaction threshold and 'near-threshold' (structuring) exception report is generated and reviewed monthly by the finance head.","Detective","Automated","Monthly","Y","Finance Head","M","Y","Cash book/payment register; structuring exception report; applicable threshold reference table","Y","Cash Book / Payment & Receipt Register","DA-28",""
